Title,Description,Deadline,D_day,Area,Category,Education,EmploymentType,Field1,Field2,Company,JobPost,CollectDate
[외국계/클라우드플랫폼/영업지원] Sales Administration,"채용공고 상세A successful software organisation is looking to fill a Sales Administration position. In this position, you will be responsible for managing the company’s CRM and quotation tool management at the local level.Responsibilities:• Review supplier quotations• Ensure updates of order records within corporate databases• Provide software licences• Work with suppliers and customers to manage orders and documents• Submit sales reports• Coordinate meetings and presentations with sales teamsRequirements:• Experience managing sales and administration procedures• Professional experience in a global environment• Microsoft Office proficiency• Fluent level EnglishAbout the Company:A technology company responsible for a number of innovative software solutions, this company services a number of clients across industries including automotive, fashion, and furniture amongst others. With a worldwide network and decades of experience, this company continue to be a global leader.1435630/001영문 이력서 및 경력 기술서 지원 선호",20201021,14,서울 중구,경력무관,대졸↑,정규직,소프트웨어개발,영업지원,로버트월터스코리아(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38869318&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
온라인 쇼핑몰 AMD 모집,"채용공고 상세온라인 쇼핑몰 AMD 모집2016년 10월 21일에 설립된 셔츠 및 블라우스 소매업업종의 의류,슈즈,잡화 소매사업을 하는 중소기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 무관ㆍ나이/성별 : 무관온라인 쇼핑몰 AMD 모집 0명담당업무ㆍAMD, 상품 등록 , 상품 DB관리, 기획전, 매출관리보조,지원자격ㆍ경력 : 무관 (신입도 지원 가능) , 꼼꼼하신 분            ㆍ기타 필수 사항        우대사항ㆍ컴퓨터활용능력 우수, 문서작성 우수자, 인근거주자, 해당직무 근무경험근무조건ㆍ근무형태:인턴직(정규직 전환가능)ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시(근무기간 : 단기 3개월, 연장 협의 가능)ㆍ급여:회사내규에 따름ㆍ근무지역:(21016) 인천 계양구 만봉길 56, 2층 - 인천 1호선 귤현 에서 300m 이내전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 8월 21일 (금) 18시  ~ 2020년 10월 20일 (화) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201020,13,인천 계양구,경력무관,학력무관,인턴직,,,(주)아임희제,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38655136&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
(주)큐빅아이  마케팅/사업기획 신입직원 모집,"채용공고 상세(주)큐빅아이  마케팅/사업기획 신입직원 모집2016년 07월 07일에 설립된 응용 소프트웨어 개발 및 공급업업종의 응용 소프트웨어 개발,공급/휴대용 통번역기 도소매사업을 하는 중소기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관커머스 서비스 마케팅/사업기획 신입직원 0명담당업무ㆍ인공지능, 빅데이터, 커머스 관련 시장조사, 사업기획, 전략기획, 서비스 기획, 마케팅 기획지원자격ㆍ경력 : 신입             ㆍ기타 필수 사항        우대사항ㆍ산업공학, 경영학, 수학/통계학ㆍ해당직무 근무경험, 통계분석능숙자, 문서작성 우수자근무조건ㆍ근무형태:정규직(수습기간)-2개월ㆍ근무일시:주 5일(월~금) 오전 10시~오후 7시ㆍ급여:2,800~3,000만원ㆍ근무지역:(06097) 서울 강남구 봉은사로 435 한국통신사업자연합회(삼성동) - 서울 9호선 선정릉 에서 500m 이내전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 24일 (목) 17시  ~ 2020년 11월 23일 (월) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:자유양식ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201123,47,,,,,,,(주)큐빅아이,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38828525&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
캐주얼게임 사업PM(퍼즐/방치형RPG) (충남글로벌게임센터내 근무,"채용공고 상세모집부문 / 자격요건 모집분야 담당업무 / 자격요건 / 우대사항모집인원캐주얼게임사업PM(퍼즐/방치형RPG)[본 공고는 충남글로벌게임센터내 근무자를 채용하고자 합니다.][담당업무]   ■ 게임런칭(글로벌)   - 프로젝트 일정관리   - 빌드 및 마켓관리   - SDK 연동지원   ■ 마케팅   - 마케팅 관리 및 지표분석   - 마케팅 집행(UA 및 NCPI 등)   ■ 협력사 커뮤니케이션(국내/해외)   - 개발지원, 서비스 스케쥴 등   ■ 그 외   - 업데이트 및 효과 지표 분석[자격조건]   -  학력 : 무관   - 경력 : 신입 or 경력 1년 이하   - 캐쥬얼게임 런칭 경험자(1개 이상) / 경력자에 한함   - 모바일게임 이해도가 높으신 분   - MS Office 사용이 능숙하신 분   - 철저한 일정관리 및 꼼꼼함을 겸비한 분   - 다수의 캐쥬얼게임 플레이 경험자   - 해외출장에 결격사유가 없는 분   - 열정과 도전정신이 강하신 분[우대사항]   - 영어 가능자   - 캐주얼게임 마케팅 경험자0명지원자격학력무관성별무관연령무관근무조건 및 근무환경근무형태정규직(수습기간)-3개월근무요일/시간주 5일(월~금) 오전 10시~오후 7시근무지역충남 - 아산시급여회사내규에 따름회사주소(31470) 충남 아산시 배방읍 희망로46번길 45-7, 충남글로벌게임센터 내인근전철서울 1호선 아산역에서 200m 이내전형절차 / 제출서류전형절차서류전형1차면접2차면접최종합격접수기간 / 방법접수기간이력서양식사람인 온라인 이력서접수방법사람인 입사지원기타 유의사항입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",20201031,24,충남 아산시,경력무관,학력무관,정규직,,,(주)이엔피브이원,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38865028&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
[글로벌/AI/엔지니어] Machine Learning Engineer,"채용공고 상세인공지능을 기반으로 부동산 개발 솔루션을 제공하는 기업에서 Deep Reinforcement Learning을 활용한 건축설계 모델 개발을 담당할 Machine learning engineer를 모집 중에 있습니다. Deep learning framework 활용 경험을 보유한 전문가분들의 많은 지원 바랍니다.Responsibilities:• Deep Reinforcement Learning을 활용한 건축설계 모델 개발• 건축설계 관련 이미지 처리 모듈 개발• 부동산 관련 가치 평가 엔진 개발Requirements:• Deep learning framework 활용 경험• Deep learning 관련 논문을 읽고 이해하고 구현할 수 있는 능력• 명확한 기술 문서 작성 능력• 원활한 커뮤니케이션 능력• Deep Reinforcement Learning에 대한 이해 우대• Deep Learning 활용 프로젝트, 실무 경험 우대• 머신러닝 관련 석사 이상 학위 우대• 딥러닝 분야 주요 학회, 저널 논문 게재 또는 Competition 실적 우대About the Company:빅데이터와 인공지능을 기반으로 부동산 개발 솔루션을 제공하는 기업입니다. 최근 성공적인 투자 유치를 통해 성장을 가속화하고 있습니다.1429120/001영문 이력서 및 경력 기술서 지원 선호",20201101,25,서울 중구,경력무관,대졸↑,정규직,솔루션업체,인공지능(AI),로버트월터스코리아(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38850768&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
거래처 주문 및 상품DB관리 담당자 모집,"채용공고 상세거래처 주문 및 상품DB관리 담당자 모집근무지는 경기도 고양시 삼송역 주변에 위치한 삼송테크노밸리 입니다.15명의 식구가 화목한 분위기에서 근무하고 있는 회사 입니다.담당업무는 상담, 거래처발주, 주문관리, 상품DB관리이며 업무 난이도가 높진 않습니다.1.  기존 식구들과 잘 어울리시는 분2. 지각을 하지 않는분위 조건을 충족하시는 분은 누구라도 지원해주시면 됩니다.지원서 확인 후 면접 볼 분은 따로 연락 드리겠습니다.감사합니다.2014년 02월 14일에 설립된 응용 소프트웨어 개발 및 공급업업종의 소프트웨어개발　및　공급업,무역업,전자상거래업,통관 대리 및 관련서비스업, 화물 운송 중개, 대리 및 관련 서비스업사업을 하는 중소기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 무관ㆍ나이/성별 : 무관사무직 1명담당업무ㆍ고객관리,상품 데이터베이스 관리지원자격ㆍ경력 : 무관 (신입도 지원 가능)            ㆍ기타 필수 사항        우대사항ㆍ문서작성 우수자, 엑셀 고급능력자근무조건ㆍ근무형태:정규직(수습기간)-3개월ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시ㆍ급여: 회사내규회사내규에 따름ㆍ근무지역:(10594) 경기 고양시 덕양구 통일로 140 삼송테크노밸리 - 서울 3호선 삼송 에서 800m 이내전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 2일 (수) 16시  ~ 2020년 11월 1일 (일) 24시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201101,25,경기 고양시 덕양구,경력무관,학력무관,정규직,,,(주)유피트코리아,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38715402&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
"웹소설(웹툰, 채팅소설) 기획 및 관리 PD 경력자 모집","채용공고 상세웹소설(웹툰, 채팅소설) 기획 및 관리 PD 경력자 모집2019년 01월 07일에 설립된 영화, 비디오물 및 방송프로그램 제작 관련 서비스업업종의 미디어콘텐츠창작업사업을 하는 중소기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관웹소설 기획 및 관리 PD콘텐츠 팀 1명담당업무ㆍ웹소설 작품 및 멀티미디어 콘텐츠 기획 및 관리 프로듀서지원자격ㆍ경력 : 경력 4년 ~ 12년(과장, 팀장급)            ㆍ기타 필수 사항        - 해당직무 근무경험우대사항ㆍ컴퓨터활용능력 우수, 문서작성 우수자근무조건ㆍ근무형태:정규직(수습기간)-1개월ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시ㆍ급여:4,000~5,000만원ㆍ근무지역:(13449) 경기 성남시 수정구 창업로 54 판교제2테크노밸리기업성장센터(시흥동)전형절차 서류전형 1차면접 2차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 9월 3일 (목) 05시  ~ 채용시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.항목명을 입력하세요ㆍ상세내용을 입력하세요.ㆍ상세내용을 입력하세요.ㆍ상세내용을 입력하세요.",채용시,999,,,,,,,(주)후원,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38717129&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
2020년 임상 영양사/컨텐츠기획(당뇨관련) 담당자 채용,"채용공고 상세2020년 임상 영양사/컨텐츠기획(당뇨관련) 담당자 채용2016년 10월 19일에 설립된 응용 소프트웨어 개발 및 공급업업종의 소프트웨어 개발,광고 영화 및 비디오물 제작업사업을 하는 중소기업 입니다.모집부문 및 상세내용공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관식단 컨텐츠 제작 임상영양사/영양사 모집(당뇨관련)쿡플레이 연구소 서울 지점 1명담당업무ㆍ전문 담당 의사와 협업을 통해 환자 맞춤형 식단 서비스 기획, 제작 및 운영   임신성 당뇨, 당뇨 관련 영양 컨텐츠 기획 및 제작지원자격ㆍ경력 : 경력 4년 이상            ㆍ기타 필수 사항        우대사항ㆍ임상영양사ㆍ인근거주자, 해당직무 근무경험근무조건ㆍ근무형태:정규직ㆍ근무일시:주 5일(월~금) 오전 9시~오후 7시(8시간 근무, 탄력근무)주 1회 컨텐츠 촬영으로 야간근무 가능자.ㆍ급여:회사내규에 따름ㆍ근무지역:(08306) 서울 구로구 가마산로 242 희망재단(구로동) - 서울 2호선 대림 에서 800m 이내전형절차 서류전형 1차면접 최종합격접수기간 / 방법ㆍ접수기간:2020년 10월 5일 (월) 16시  ~ 2020년 10월 15일 (목) 15시ㆍ접수방법:사람인 입사지원ㆍ이력서양식:사람인 온라인 이력서ㆍ제출서류:사람인 이력서자기소개서자격증 사본유의사항ㆍ학력, 성별, 연령을 보지않는 블라인드 채용입니다. ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.",20201015,8,서울 구로구,경력4년↑,대졸↑,정규직,,,(주)쿡플레이,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38862063&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
머지포인트 C팀 경력직 채용(CS),채용공고 상세,20201104,28,,,,,,,머지홀딩스(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38861725&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
[서울] (주)레즐러플러스 웹개발자 정규직 모집,채용공고 상세,20201025,18,서울 강남구,신입·경력,학력무관,정규직,,,(주)레즐러플러스,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38832160&location=ts&searchword=IT&searchType=search&paid_fl=n,2020-10-07
